Date,Open,High,Low,Close,Adj Close,Volume
2010-12-16,955.789978,967.659973,954.140015,967.659973,967.659973,0
2010-12-17,970.880005,981.059998,968.460022,978.979980,978.979980,0
2010-12-20,982.750000,982.809998,973.760010,979.719971,979.719971,0
2010-12-21,982.219971,984.500000,978.080017,983.969971,983.969971,0
2010-12-22,984.489990,985.729980,982.169983,982.979980,982.979980,0
2010-12-23,981.700012,984.659973,979.039978,984.440002,984.440002,0
2010-12-27,981.489990,987.000000,977.030029,984.750000,984.750000,0
2010-12-28,985.590027,985.979980,979.760010,979.789978,979.789978,0
2010-12-29,981.849976,982.989990,979.049988,979.289978,979.289978,0
2010-12-30,978.419983,980.500000,975.770020,976.000000,976.000000,0
2010-12-31,975.479980,975.909973,969.650024,970.169983,970.169983,0
2011-01-03,975.989990,988.429993,975.880005,981.090027,981.090027,0
2011-01-04,982.950012,983.229980,971.169983,975.739990,975.739990,0
2011-01-05,973.729980,986.000000,973.469971,984.760010,984.760010,0
2011-01-06,985.359985,989.619995,985.229980,988.789978,988.789978,0
2011-01-07,989.690002,990.130005,981.340027,988.989990,988.989990,0
2011-01-10,984.539978,988.520020,980.559998,985.830017,985.830017,0
2011-01-11,990.630005,993.330017,988.849976,992.140015,992.140015,0
2011-01-12,995.729980,997.270020,988.619995,997.270020,997.270020,0
2011-01-13,996.590027,999.989990,995.859985,998.520020,998.520020,0
2011-01-14,995.229980,1001.570007,994.169983,1001.440002,1001.440002,0
2011-01-18,1004.530029,1010.690002,1004.109985,1010.690002,1010.690002,0
2011-01-19,1007.080017,1007.080017,984.349976,987.080017,987.080017,0
2011-01-20,984.270020,989.010010,979.150024,985.849976,985.849976,0
2011-01-21,985.760010,986.409973,976.809998,976.809998,976.809998,0
2011-01-24,977.210022,990.169983,977.210022,985.409973,985.409973,0
2011-01-25,982.890015,987.539978,980.820007,987.460022,987.460022,0
2011-01-26,989.679993,1001.130005,989.520020,999.859985,999.859985,0
2011-01-27,998.919983,1001.500000,992.159973,995.130005,995.130005,0
2011-01-28,995.130005,995.130005,966.760010,967.330017,967.330017,0
2011-01-31,969.549988,977.669983,965.500000,974.119995,974.119995,0
2011-02-01,977.030029,985.780029,976.570007,982.659973,982.659973,0
2011-02-02,980.289978,985.109985,980.200012,983.030029,983.030029,0
2011-02-03,980.590027,981.150024,970.330017,977.179993,977.179993,0
2011-02-04,977.570007,981.330017,972.380005,979.690002,979.690002,0
2011-02-07,980.940002,986.489990,976.739990,978.239990,978.239990,0
2011-02-08,974.909973,977.960022,972.669983,977.960022,977.960022,0
2011-02-09,975.429993,975.469971,967.440002,970.760010,970.760010,0
2011-02-10,967.059998,977.250000,965.739990,976.989990,976.989990,0
2011-02-11,973.119995,978.919983,969.729980,978.630005,978.630005,0
2011-02-14,978.219971,985.679993,977.809998,985.679993,985.679993,0
2011-02-15,982.030029,988.090027,981.989990,986.390015,986.390015,0
2011-02-16,988.609985,992.830017,985.950012,990.849976,990.849976,0
2011-02-17,991.099976,994.909973,988.640015,993.359985,993.359985,0
2011-02-18,994.950012,995.330017,987.140015,991.619995,991.619995,0
2011-02-22,985.880005,986.760010,971.090027,972.599976,972.599976,0
2011-02-23,976.270020,976.739990,963.580017,963.760010,963.760010,0
2011-02-24,959.349976,966.500000,955.630005,963.030029,963.030029,0
2011-02-25,966.539978,982.619995,966.090027,982.479980,982.479980,0
2011-02-28,987.710022,991.299988,979.669983,983.530029,983.530029,0
2011-03-01,987.159973,987.159973,973.849976,977.090027,977.090027,0
2011-03-02,975.619995,987.969971,974.679993,984.250000,984.250000,0
2011-03-03,989.150024,999.530029,989.109985,998.770020,998.770020,0
2011-03-04,998.000000,1000.250000,993.390015,998.869995,998.869995,0
2011-03-07,1001.200012,1003.080017,982.830017,992.609985,992.609985,0
2011-03-08,993.380005,1006.750000,986.179993,1003.710022,1003.710022,0
2011-03-09,1001.650024,1007.590027,996.760010,1005.289978,1005.289978,0
2011-03-10,995.789978,995.809998,985.289978,987.479980,987.479980,0
2011-03-11,985.280029,998.820007,984.840027,995.000000,995.000000,0
2011-03-14,987.130005,997.270020,985.500000,990.330017,990.330017,0
2011-03-15,968.380005,986.020020,967.729980,980.950012,980.950012,0
2011-03-16,976.500000,981.989990,965.440002,968.390015,968.390015,0
2011-03-17,979.510010,981.090027,971.760010,972.489990,972.489990,0
2011-03-18,980.940002,982.880005,975.729980,978.299988,978.299988,0
2011-03-21,988.979980,992.630005,984.460022,985.599976,985.599976,0
2011-03-22,984.820007,986.580017,981.130005,983.679993,983.679993,0
2011-03-23,981.719971,989.219971,976.750000,986.700012,986.700012,0
2011-03-24,992.640015,1004.809998,988.780029,1002.299988,1002.299988,0
2011-03-25,1004.679993,1011.909973,1002.039978,1003.820007,1003.820007,0
2011-03-28,1006.960022,1007.150024,1000.950012,1001.020020,1001.020020,0
2011-03-29,1002.630005,1016.570007,1002.330017,1016.570007,1016.570007,0
2011-03-30,1026.430054,1036.229980,1026.430054,1034.630005,1034.630005,0
2011-03-31,1035.219971,1041.339966,1034.900024,1040.829956,1040.829956,0
2011-04-01,1045.069946,1048.489990,1041.199951,1048.489990,1048.489990,0
2011-04-04,1051.650024,1054.920044,1048.880005,1051.089966,1051.089966,0
2011-04-05,1052.800049,1066.040039,1052.739990,1062.750000,1062.750000,0
2011-04-06,1068.189941,1072.329956,1059.209961,1063.790039,1063.790039,0
2011-04-07,1064.540039,1068.410034,1057.160034,1061.890015,1061.890015,0
2011-04-08,1064.040039,1066.469971,1056.829956,1062.239990,1062.239990,0
2011-04-11,1066.500000,1070.089966,1056.989990,1062.390015,1062.390015,0
2011-04-12,1059.469971,1059.750000,1054.160034,1058.729980,1058.729980,0
2011-04-13,1064.550049,1070.939941,1061.369995,1069.400024,1069.400024,0
2011-04-14,1063.280029,1078.000000,1062.430054,1077.670044,1077.670044,0
2011-04-15,1078.410034,1090.219971,1075.890015,1089.880005,1089.880005,0
2011-04-18,1078.859985,1079.300049,1066.530029,1076.979980,1076.979980,0
2011-04-19,1079.400024,1080.260010,1065.670044,1073.010010,1073.010010,0
2011-04-20,1086.410034,1092.359985,1085.319946,1092.329956,1092.329956,0
2011-04-21,1094.530029,1095.219971,1088.000000,1092.849976,1092.849976,0
2011-04-25,1092.839966,1092.949951,1078.599976,1086.900024,1086.900024,0
2011-04-26,1091.030029,1107.910034,1089.510010,1103.229980,1103.229980,0
2011-04-27,1109.729980,1129.709961,1105.849976,1129.709961,1129.709961,0
2011-04-28,1123.839966,1130.160034,1121.209961,1130.020020,1130.020020,0
2011-04-29,1127.630005,1128.599976,1117.040039,1117.170044,1117.170044,0
2011-05-02,1122.449951,1134.780029,1121.869995,1123.959961,1123.959961,0
2011-05-03,1120.109985,1125.329956,1108.560059,1115.150024,1115.150024,0
2011-05-04,1114.910034,1120.729980,1099.349976,1106.819946,1106.819946,0
2011-05-05,1098.880005,1105.819946,1089.709961,1091.880005,1091.880005,0
2011-05-06,1103.770020,1116.349976,1101.260010,1107.189941,1107.189941,0
2011-05-09,1110.030029,1126.219971,1109.270020,1123.880005,1123.880005,0
2011-05-10,1125.630005,1130.520020,1117.849976,1129.729980,1129.729980,0
2011-05-11,1126.979980,1129.680054,1114.619995,1122.420044,1122.420044,0
2011-05-12,1116.459961,1139.099976,1112.180054,1138.359985,1138.359985,0
2011-05-13,1139.790039,1143.579956,1128.310059,1131.689941,1131.689941,0
2011-05-16,1125.680054,1130.160034,1115.140015,1115.510010,1115.510010,0
2011-05-17,1110.189941,1118.229980,1106.089966,1117.479980,1117.479980,0
2011-05-18,1116.489990,1128.510010,1115.060059,1127.380005,1127.380005,0
2011-05-19,1130.790039,1132.430054,1114.400024,1122.459961,1122.459961,0
2011-05-20,1121.900024,1130.119995,1115.430054,1123.839966,1123.839966,0
2011-05-23,1108.750000,1110.239990,1101.650024,1107.750000,1107.750000,0
2011-05-24,1112.780029,1114.520020,1103.630005,1103.930054,1103.930054,0
2011-05-25,1099.479980,1113.109985,1097.849976,1111.579956,1111.579956,0
2011-05-26,1108.430054,1119.170044,1105.839966,1118.780029,1118.780029,0
2011-05-27,1121.599976,1123.030029,1118.469971,1122.619995,1122.619995,0
2011-05-31,1133.189941,1136.060059,1122.800049,1135.349976,1135.349976,0
2011-06-01,1134.380005,1135.589966,1113.520020,1113.520020,1113.520020,0
2011-06-02,1115.280029,1123.849976,1111.420044,1120.819946,1120.819946,0
2011-06-03,1108.589966,1120.219971,1106.829956,1109.329956,1109.329956,0
2011-06-06,1104.439941,1106.890015,1088.760010,1089.540039,1089.540039,0
2011-06-07,1095.839966,1107.410034,1093.030029,1101.439941,1101.439941,0
2011-06-08,1104.270020,1108.869995,1094.119995,1097.689941,1097.689941,0
2011-06-09,1094.880005,1104.579956,1086.349976,1094.949951,1094.949951,0
2011-06-10,1089.540039,1091.979980,1074.010010,1074.010010,1074.010010,0
2011-06-13,1073.770020,1082.589966,1068.329956,1070.670044,1070.670044,0
2011-06-14,1077.339966,1084.790039,1072.430054,1079.689941,1079.689941,0
2011-06-15,1071.930054,1086.920044,1067.790039,1068.280029,1068.280029,0
2011-06-16,1067.770020,1072.670044,1053.930054,1064.339966,1064.339966,0
2011-06-17,1072.260010,1073.140015,1054.959961,1056.760010,1056.760010,0
2011-06-20,1055.859985,1070.250000,1055.400024,1065.739990,1065.739990,0
2011-06-21,1071.150024,1080.709961,1066.390015,1079.060059,1079.060059,0
2011-06-22,1075.699951,1083.969971,1075.189941,1075.489990,1075.489990,0
2011-06-23,1063.790039,1082.390015,1056.170044,1081.709961,1081.709961,0
2011-06-24,1078.160034,1079.280029,1067.410034,1073.439941,1073.439941,0
2011-06-27,1072.270020,1083.589966,1067.699951,1082.219971,1082.219971,0
2011-06-28,1083.040039,1105.050049,1081.390015,1102.959961,1102.959961,0
2011-06-29,1104.380005,1108.619995,1097.510010,1104.900024,1104.900024,0
2011-06-30,1107.469971,1112.709961,1106.959961,1108.400024,1108.400024,0
2011-07-01,1110.119995,1120.739990,1107.479980,1120.560059,1120.560059,0
2011-07-05,1122.239990,1123.780029,1117.209961,1123.609985,1123.609985,0
2011-07-06,1124.010010,1131.650024,1123.040039,1129.750000,1129.750000,0
2011-07-07,1137.420044,1137.780029,1127.449951,1136.719971,1136.719971,0
2011-07-08,1130.739990,1140.060059,1128.349976,1139.810059,1139.810059,0
2011-07-11,1127.349976,1131.060059,1114.280029,1118.020020,1118.020020,0
2011-07-12,1116.650024,1126.920044,1112.280029,1117.300049,1117.300049,0
2011-07-13,1123.130005,1136.079956,1121.369995,1124.449951,1124.449951,0
2011-07-14,1128.839966,1137.260010,1114.619995,1118.280029,1118.280029,0
2011-07-15,1118.719971,1118.719971,1110.050049,1115.869995,1115.869995,0
2011-07-18,1111.930054,1113.180054,1092.900024,1101.479980,1101.479980,0
2011-07-19,1106.989990,1122.359985,1106.939941,1121.719971,1121.719971,0
2011-07-20,1125.229980,1125.719971,1107.760010,1112.040039,1112.040039,0
2011-07-21,1119.949951,1132.969971,1117.099976,1129.760010,1129.760010,0
2011-07-22,1130.040039,1136.839966,1127.589966,1135.319946,1135.319946,0
2011-07-25,1126.550049,1127.189941,1114.750000,1114.989990,1114.989990,0
2011-07-26,1114.000000,1114.050049,1102.859985,1103.810059,1103.810059,0
2011-07-27,1098.540039,1098.719971,1069.920044,1072.660034,1072.660034,0
2011-07-28,1073.719971,1096.750000,1073.660034,1074.949951,1074.949951,0
